"","PCSA","SDI_2022_Raw","SDI_2022"
"86","01091973400",-0.281000736378543,34
"87","01093964100",0.334635119282785,61
"88","01093964400",-0.10442862979337,42
"89","01093964700",0.15172109596764,53
"90","01095030201",-0.221197583663257,37
"91","01095030600",0.523990601705607,70
"92","01095030402",-0.589227604178889,22
"93","01095030802",1.10207608233072,90
"94","01097000901",0.242814139467672,57
"95","01097003703",0.910028055700456,84
"96","01099075900",0.554286702911469,71
"97","01099076000",1.17461493903232,92
"98","01101000600",1.53114098100517,98
"99","01103000100",1.23761457918077,93
"100","01103005303",0.444366602029623,66
"101","01105687000",0.689083239064126,76
"102","01105687100",1.23113135541742,93
"103","01107050300",0.842064030649839,82
"104","01107050400",0.859953752016465,83
"105","01109188700",0.728883804569429,78
"106","01111000300",0.339101094785428,61
"107","01111000400",0.75036096126633,79
"108","01113030402",0.139068279911565,52
"109","01115040201",-0.207257744022387,37
"110","01115040501",-1.07200401935993,9
"111","01117030701",-0.251449373942876,35
"112","01117030315",0.0872246184774555,50
"113","01117030319",0.0339229534704797,48
"114","01117030407",0.506444905381154,69
"115","01119011300",0.198592493600851,55
"116","01119011500",1.09362802368661,89
"117","01121010201",0.399412320306473,64
"118","01121010202",-0.65935059559383,20
"119","01121010900",0.647017676382529,75
"120","01121011800",1.12433641436421,90
"121","01123962300",0.716635198036617,77
"122","01123962400",0.923686415144548,85
"123","01125010701",-0.304909156382852,33
"124","01125012600",0.65944530139259,75
"125","01125010602",-0.514025725333086,25
"126","01127020400",0.383967468119497,63
"127","01129044000",0.0233978083247511,47
"128","01129044200",-0.278076130625391,34
"129","01131034800",1.06386181060789,89
"130","01133965800",0.476900033281337,68
"131","02020000201",0.0969153556249443,51
"132","02020001602",0.130425110893326,52
"133","02020002900",-0.349033265804359,32
"134","02050000200",0.844191286269373,82
"135","02070000100",1.18423992081147,92
"136","02122001300",-0.38882284883657,30
"137","02261000100",0.172463764916588,54
"138","02240000100",0.743312879779409,78
"139","02090000100",1.10348977980683,90
"140","02090000300",0.793547614686865,80
"141","02240000400",-0.262680202572978,35
"142","02100000100",-0.57107595156609,23
"143","02110000100",-0.932093202838003,12
"144","02122000500",0.0217371271548553,47
"145","02122001000",0.265936913446486,58
"146","02122001200",0.119077244566861,51
"147","02130000200",0.350420911236773,62
"148","02170000102",0.0474220707600203,48
"149","02170000200",-0.500454409637593,26
"150","02170000703",0.347884203789442,62
"151","02188000100",1.22607658540321,93
"152","02180000200",0.302925044500494,60
"153","02195000200",0.00839342931785825,46
"154","02198000200",0.489187385361656,68
"155","02220000200",-0.204430034876838,37
"156","02275000300",0.255115132170398,57
"157","04001942700",1.20609258053055,92
"158","04001944000",1.21576171396072,93
"159","04001944100",1.40390552159976,96
"160","04001944201",1.53551442357,98
"161","04001944902",1.13451048817463,91
"162","35006974700",0.280389390693376,59
"163","04017963800",-0.239482907009935,36
"164","04001970501",0.502434412067851,69
"165","04003000202",1.11153161242005,90
"166","04003000301",0.682835610834037,76
"167","04003001100",0.9273640236827,85
"168","04003001602",1.19724538278022,92
"169","04005000300",1.06047207323258,88
"170","04005000200",-0.21013908897876,37
"171","04005001200",NA,NA
"172","04025001802",0.151739183279583,53
"173","04005001700",0.468388096838466,67
"174","04005944900",1.08075234184026,89
"175","04007000301",-0.230815675916021,36
"176","04007000700",0.393198748951421,64
"177","04021002300",-0.21489215481706,37
"178","04007940200",1.59274202393411,98
"179","04009940500",1.52761102243464,98
"180","04009961500",0.751600733342311,79
"181","35003976400",-0.272305314182436,35
"182","04011960200",0.49632291340369,69
"183","04011960300",0.381506919054639,63
"184","04012940200",0.321077893537211,60
"185","04013040502",0.358874571462324,62
"186","04013040515",-0.64147093654495,21
"187","04013040507",-0.744025478198152,18
"188","04013610000",-0.476264437664033,26
"189","04013061024",-0.809136501134762,16
"190","04013071516",0.340892628262179,61
"191","04013104217",0.250395981767259,57
"192","04013104600",1.0256418501711,88
"193","04013106802",0.52084723044973,70
"194","04013108400",0.69383019684478,77
"195","04013109002",1.6925846698031,99
"196","04013111800",0.100717018757637,51
"197","04013113203",1.04879237697466,88
"198","04013116712",-0.22351118418964,37
"199","04013216810",0.0359022739085849,48
"200","04013216818",-1.04485467766135,10
"201","04013217201",-0.851545990652266,14
"202","04013319404",-0.529781643210846,24
"203","04013420603",-0.305650018864184,33
"204","04013422402",-0.165419117215781,39
"205","04013422504",-0.0894042276867778,42
"206","04013422625",1.10221372728817,90
"207","04013422636",0.109955427808681,51
"208","04013422637",-0.602892547871109,22
"209","04013523103",0.366590635755839,62
"210","04013610200",-1.51806508886168,2
"211","04013616400",-0.571830227546118,23
"212","04013619700",0.440874290597854,66
"213","04013723306",0.544718326278003,70
"214","04013813000",-1.48516605617023,2
"215","04013815500",-0.263432959852771,35
"216","04013817000",-0.842051015210349,15
"217","04013113400",0.212716219359703,55
"218","04015951900",0.787755732198254,80
"219","04015953000",0.0844651265349206,50
"220","04015954900",0.167066478284157,53
"221","04017940013",1.3759483706215,96
"222","04017940100",1.25423451751253,93
"223","04017942500",1.13553166317716,91
"224","04017960200",0.825123878298545,81
"225","04017960600",0.971961029721367,86
"226","04017961700",-0.370409441992277,31
"227","04017964202",0.0346255099787955,48
"228","04019002904",-0.308041509480077,33
"229","04023966101",-0.900257961098063,13
"230","04019004328",-1.38901942429169,3
"231","04019004614",-0.591030405826971,22
"232","04019004616",-0.000831121549593666,46
"233","04021000802",-0.792392403825653,16
"234","04019470400",0.468187766233438,67
"235","04021941200",1.38644964949819,96
"236","04021000316",-1.13276337754826,8
"237","04021001407",0.671287946887762,76
"238","04021002400",1.09248955329303,89
"239","04023966401",1.71118375503191,99
"240","04025000203",-0.906864819686848,13
"241","04025000606",0.345901850231,62
"242","04025000900",1.33802870643262,95
"243","04025001001",-1.09342988784416,9
"244","04025001300",0.230211446948524,56
"245","04025002001",0.940861627451599,85
"246","04027001004",1.5094266679555,98
"247","05001480200",-0.388783375414253,30
"248","05001480700",1.02125382675865,87
"249","05003960300",1.05234435668682,88
"250","05003960500",0.83066740906964,81
"251","05005950400",0.262651541070329,58
"252","05129970200",1.0009792336731,87
"253","05049550200",0.422632936524131,65
"254","05007020205",0.71791063383,78
"255","05007020901",-0.678514831098357,20
"256","40041376000",1.14200757237367,91
"257","05007021001",0.129534484606166,52
"258","05007021201",-0.593019358953881,22
"259","05015950200",-0.4216796762285,29
"260","05009790502",0.701610767912724,77
"261","05011950400",0.552083474214417,71
"262","05015950300",0.332160283278146,61
"263","05017080200",1.50578367218195,98
"264","05017080300",0.645901744297793,75
"265","05019953601",1.08054410712182,89
"266","05109953300",0.637547382734022,74
"267","05099090200",1.07665121890891,89
"268","05021950400",0.868997591380605,83
"269","05021950600",0.732490344086955,78
"270","05023480202",0.311235119375543,60
"271","05023480400",0.449586938953496,67
"272","05027950100",0.239223737855857,57
"273","22027950200",0.70758223561214,77
"274","05027950400",0.594634045257989,73
"275","05073470200",0.70262570015594,77
"276","05029950300",0.976861037415214,86
"277","05031000101",1.3694485796011,96
