"","GEOID","NAME","POV_P","NOHSDP_P","NONEMP_P","RENT_P","CROWD_P","SNGPNT_P","NOVEH_P","B01001_001","SDI_2022_Raw","SDI_2022"
"15602","47649","ZCTA5 47649",0.1130298,0.1150442,0.3333333,0.1708464,0.03761755,0.06552707,0.02978056,1280,0.02221453,40
"15603","47654","ZCTA5 47654",0.1,0,0.1538462,0,0,0,0,20,-1.513278,4
"15604","47660","ZCTA5 47660",0.1053533,0.1568332,0.313562,0.2461623,0.007127193,0.05700713,0.03673246,4945,-0.01306218,39
"15605","47665","ZCTA5 47665",0.0551655,0.08850533,0.3744204,0.1821214,0.05070047,0.06654836,0.03402268,4057,-0.4551557,27
"15606","47666","ZCTA5 47666",0.1819936,0.1271617,0.2191641,0.2007233,0.04882459,0.1329923,0.01808318,1555,0.5574173,56
"15607","47670","ZCTA5 47670",0.09637362,0.1069065,0.2684255,0.3122538,0.03085339,0.1293017,0.05557987,11566,0.4469297,53
"15608","47683","ZCTA5 47683",0.1891892,0.3,0.3333333,0.2941176,0,0,0.05882353,37,0.6928298,59
"15609","47708","ZCTA5 47708",0.3061224,0.1142322,0.3563025,0.768262,0.04785894,0,0.05793451,681,1.322564,76
"15610","47710","ZCTA5 47710",0.2106365,0.1232783,0.3146896,0.4524892,0.02458513,0.2496257,0.1080516,18815,1.774722,87
"15611","47711","ZCTA5 47711",0.1090013,0.09704231,0.2993278,0.2556597,0.01151002,0.1484357,0.09230887,31200,0.4780268,54
"15612","47712","ZCTA5 47712",0.1230174,0.08218712,0.2608067,0.3487456,0.0168982,0.1373177,0.06054323,25051,0.5262165,55
"15613","47713","ZCTA5 47713",0.2991124,0.1302258,0.4067715,0.5840746,0.009329573,0.3674645,0.1807333,9591,2.06919,93
"15614","47714","ZCTA5 47714",0.1930569,0.1312943,0.294573,0.415184,0.01034947,0.1804244,0.09505919,33571,1.415528,79
"15615","47715","ZCTA5 47715",0.1441664,0.04690583,0.1676836,0.4912462,0.009307823,0.1961555,0.07889488,28079,0.6367352,58
"15616","47720","ZCTA5 47720",0.08015199,0.06370988,0.2347298,0.1446434,0.004262575,0.0759069,0.02969594,17198,-0.9324721,15
"15617","47725","ZCTA5 47725",0.03514461,0.02277125,0.1615425,0.02891791,0.001465885,0.09632948,0.004530917,19175,-1.690969,2
"15618","47802","ZCTA5 47802",0.135521,0.08768649,0.3077937,0.3890552,0.02238359,0.1874122,0.06520437,32891,1.027177,69
"15619","47803","ZCTA5 47803",0.1241031,0.04997003,0.3170973,0.2963853,0.008350492,0.1409483,0.04221002,21008,0.177391,45
"15620","47804","ZCTA5 47804",0.2460415,0.1399685,0.4125554,0.394731,0.03505247,0.1736822,0.1069435,10933,1.820959,88
"15621","47805","ZCTA5 47805",0.1352391,0.05403912,0.2801248,0.211625,0.02213425,0.1101969,0.02717294,12862,-0.06808354,38
"15622","47807","ZCTA5 47807",0.5046921,0.1912602,0.4090026,0.7276929,0.07020974,0.3454216,0.1587273,13531,2.579288,100
"15623","47809","ZCTA5 47809",0,0,0.47669,0,0,0,0,1716,-1.730039,1
"15624","47832","ZCTA5 47832",0.1390558,0.03815029,0.3348485,0.1691974,0.004338395,0.125,0.05639913,1169,-0.08941044,37
"15625","47833","ZCTA5 47833",0.06639004,0.1190168,0.2085386,0.1604278,0.07219251,0,0.02673797,964,-0.608223,23
"15626","47834","ZCTA5 47834",0.1184344,0.08376581,0.3210963,0.2467398,0.02956746,0.1522899,0.04144609,19215,0.4559901,53
"15627","47837","ZCTA5 47837",0.05120167,0.1178918,0.285205,0.08905852,0.05089059,0.0730897,0.005089059,958,-0.6411561,22
"15628","47838","ZCTA5 47838",0.1552239,0.156924,0.7091211,0.1446384,0.004987531,0.1327586,0.004987531,3916,0.4299562,52
"15629","47840","ZCTA5 47840",0.08369408,0.03362002,0.3809524,0.1059603,0,0.04580153,0.002649007,2079,-1.166122,10
"15630","47841","ZCTA5 47841",0.1128338,0.1308869,0.2649057,0.2263959,0,0.04628099,0.02335025,2368,-0.303928,31
"15631","47842","ZCTA5 47842",0.1625683,0.08248936,0.3140554,0.2688198,0.03836814,0.1738982,0.02841185,9730,0.774126,62
"15632","47845","ZCTA5 47845",0,0,0,0,0,0,0,40,-2.068498,1
"15633","47846","ZCTA5 47846",0.06878981,0.02570093,0.2436149,0.03861004,0,0.1100917,0,785,-1.275799,8
"15634","47847","ZCTA5 47847",0.1183369,0.06085754,0.2429379,0.1300448,0.02914798,0.03202847,0.04484305,943,-0.5040821,25
"15635","47848","ZCTA5 47848",0.07596899,0.1063123,0.3390036,0.2313297,0.02003643,0.150838,0.04371585,1290,0.2055921,46
"15636","47849","ZCTA5 47849",0.1641509,0.09120521,0.264637,0.1971831,0,0,0.1408451,530,0.03926,41
